Ingredients,Rate,Category,Information
Citrus unshiu,AVERAGE,Antioxidants,"Plant extract more commonly known as the satsuma. This medium-sized citrus fruit is native to Japan. Like all citrus extracts, it contains volatile fragrance chemicals that can be a source of skin aggravation. Of course, it has antioxidant ability as do most plants, but ideally you should be seeking antioxidants that provide benefits rather than a mix of benefits and risks.
References for this information:
Journal of Agriculture and Food Chemistry, July 2008, issue 14, pages 5682-5690"
Citrus unshiu peel extract,AVERAGE,Antioxidants,none
clary oil,POOR,Plant Extracts,Used as fragrance; can aggravate skin.
clary sage,GOOD,Antioxidants,"Also known as Salvia sclarea, the extract from the clary sage plant (not to be confused with common sage leaf) has antioxidant properties, although it isn’t nearly as well researched as several other plant extracts with antioxidant benefits. Note that the oil form of clary sage can be a skin sensitizer and should be avoided. The main antioxidants in clary extract come from the seeds, and include vitamin E, lutein, and various carotenoids.
Clary extract and its derivatives have generally recognized as safe status, including for use in foods.
References for this information:
Chemistry and Biodiversity, September 2017, ePublication
Interdisciplinary Toxicology, September 2014, pages 146-153
Cellular and Molecular Biology, June 2014, pages 1-5"
clay,GOOD,Absorbent,none
clove leaf,POOR,Plant Extracts,none
clove oil,POOR,Plant Extracts,Can aggravate skin when used repeatedly.
clover blossom,POOR,Plant Extracts,"Contains eugenol, which can aggravate skin and cause photosensitivity."
clover leaf oil,POOR,Plant Extracts,none
cocamide DEA and MEA,AVERAGE,Texture Enhancer,"Both cocamide DEA (diethanolamine) and MEA (monoethanolamine) are widely used to thicken the water phase of cosmetics, keep ingredients blended, and boost foaming properties. Derived from plants (typically coconut oil) or made synthetically, these ingredients have been thoroughly evaluated for safety and are permitted for use in leave-on products in concentrations up to 10%. Cocamide DEA can react with other ingredients to form harmful substances known as nitrosamines. According to the Cosmetic Ingredient Review (CIR) Board, “To prevent the formation of possibly [harmful] nitrosamines, these ingredients should not be used in cosmetics and personal care products containing nitrosating agents.” The CIR Expert Panel concluded that “Cocamide DEA was safe as used in rinse-off products and safe at concentrations of less than or equal to 10% in leave-on products.”
References for this information:
International Journal of Toxicology, May-June 2013, 3S, pages 26S-58S"
cocamidopropyl betaine,GOOD,Cleansing Agents,"Gentle surfactant used in skincare products, almost always as a secondary cleansing agent and lather booster. When used alone as the sole cleansing agent, it is too mild to clean adult skin and hair.
Cocamidopropyl betaine may be plant-derived or synthetic, with either form considered safe for use in cosmetic products. It is considered low risk for sensitizing skin, although impurities resulting from poor manufacturing can increase the risk.
References for this information:
International Journal of Toxicology, July-August 2012, Supplement, pages 77S-111S
Contact Dermatitis, May 2012, pages 286-292 ; April 2011, pages 203-211 ; and May-June 2008, pages 157-160"
cocamidopropyl dimethylamine,GOOD,Cleansing Agents,"An antistatic agent derived from fatty acids found in coconut oil, though it may be produced synthetically, too. Although very high concentrations can be sensitizing, this ingredient is considered safe and effective when used in lower amounts in water-based formulas. Despite its function as an antistatic agent, cocamidopropyl dimethylamine belongs to the same class of ingredients as the cleansing/lather agent cocamidopropyl betaine.
References for this information:
International Journal of Toxicology, July-August 2012, issue 4, pages 77S-111S"
cocamidopropyl hydroxysultaine,GOOD,Cleansing Agents,Mild surfactant.
cocoa butter,BEST,Plant Extracts,"Oil extracted from cocoa beans, used as an emollient and with properties similar to those of other non-fragrant plant oils. Cocoa butter is a rich source of antioxidant polyphenols.
References for this information:
International Journal of Cosmetic Science, October 2008, issue 5, pages 339-345"
cocoa extract,BEST,Antioxidants,"Can have potent antioxidant properties.
References for this information:
Experimental Biology and Medicine, May 2002, issue 5, pages 321–329
Journal of Agricultural Food Chemistry, July 2001, issue 7, pages 3438–3442"
coco-glucoside,GOOD,Cleansing Agents,A mixture of fatty alcohol from coconut and glucose. Chiefly functions as a cleansing agent. May be plant-derived or manufactured synthetically.
cocoglycerides,GOOD,Texture Enhancer,Used as an emollient and thickening agent in cosmetics.
coconut,GOOD,Plant Extracts,"Has degreasing and cleansing properties, which is why detergent cleansing agents are frequently derived from coconut oil."
coconut oil,BEST,Plant Extracts,"Non-volatile, non-fragrant plant kernel oil whose high saturated fat content has emollient properties for skin.
Coconut oil is a rich source of medium-chain fatty acids, also known as medium-chain triglycerides. Used by itself as a moisturizer, coconut oil’s effectiveness is similar to that of mineral oil.
Oral consumption of virgin coconut oil has been shown to increase the antioxidant content of skin compared to olive and sunflower oils.
Contrary to claims, coconut oil does not provide sufficient sun protection for skin. Research has shown it only screens about 20% of UV light before it can damage skin, which means 80% still gets through. Therefore, skipping regular, broad spectrum sunscreen in favor of coconut oil is putting your skin at risk for early signs of aging and other undesirable effects.
For more information about coconut oil, see our article Coconut Oil for Skin.
References for this information:
International Journal of Dermatology, January 2014, pages 100-108
Food & Function, September 2013, pages 1,402-1,409
Pharmacognosy Review, July-December 2011, pages 164-173
Skin Pharmacology and Physiology, June 2010, pages 290-297
Dermatitis, November-December 2008, pages 308-315; and September 2004, pages 109-116"
cocos nucifera (coconut) fruit extract,BEST,Skin-Softening,"The extract of the fruit of the coconut tree, this ingredient is rich in skin-conditioning fatty acids, proteins, and complex B vitamins.
References for this information:
American Journal of Pharmacological Sciences, May 2017, pages 25-30
Medicines, May 2016"
Cocus nucifera,BEST,Plant Extracts,none
Codium tomentosum extract,GOOD,Antioxidants,none
coenzyme Q10,BEST,Skin-Soothing,"Also known as ubiquinone, it is a vitamin-like, fat-soluble substance naturally present in the body. A handful of studies have shown that coenzyme Q10 (CoQ10) may help improve the appearance of signs of aging.
There is also research showing that environmental factors deplete the presence of CoQ10 in the skin. The latest research suggests that topical application of CoQ10 has antioxidant and skin-soothing effects. As such, it is one of many helpful antioxidants for skin, but it is not the only one or the “best.""
References for this information:
Biofactors, September-October 2009, issue 5, pages 435–441
Biofactors, 2008, issue 4, pages 237–243
Journal of Cosmetic Dermatology, March 2006, issue 1, pages 30–38
Biofactors, November 2005, issue 4, pages 179–185
Journal of Investigative Dermatology, 2005, issue 4, pages 12–13
Journal of Dermatological Science, August 2001, Supplement, pages 1–4
Biofactors, November 2015, pages 383-390"
Coffea arabica (coffee) seed oil,BEST,Antioxidants,"The concentrated oil from the coffee bean plant, which is green, not dark brown as this color doesn't occur until coffee beans are roasted. Research on this oil's effect on skin is intriguing. In vitro tests on skin samples and sections of human skin have shown topical application can help restore skin and contribute to a healthier, smoother look and feel. This non-fragrant plant oil also appears to stimulate pathways in skin that lead to greater moisture retention.
Although that news is encouraging, at this point there's little research to go on. However, coffee seed extract and oil are a rich source of antioxidants whether consumed (as in beverages) or applied to skin. We're hopeful that ongoing research will reveal all forms of coffee to have benefits for skin.
References for this information:
Journal of Cosmetic Dermatology, March 2009, issue 1, pages 56-62"
Coffea arabica seed extract,BEST,Antioxidants,"Coffea arabica is the coffee plant, and there is research showing that coffee extract has antioxidant properties.
Journal of Agricultural and Food Chemistry, June 2002, issue 13, pages 3751–3756"
Cola acuminata seed extract,AVERAGE,Plant Extracts,none
Coleus barbatus,POOR,Plant Extracts,Member of the mint family and also known as forskolin; can aggravate skin.
collagen amino acids,GOOD,Hydration,"Collagen amino acids are made from the hydrolysis (breaking down with water) of protein, resulting in a high amount of a single amino acid, hydroxyproline, which serves to increase skin’s moisture levels and smoothness.
References for this information:
Clinical, Cosmetic, and Investigational Dermatology, February 2013, pages 43-49
Amino Acids, June 2012, pages 2,481-2,489"
